REFERENCIA|DESCRIPCION|MATERIAL / FABRICANTE|FECHA | COSTO | PRECIO |12|50|100|300|500|1000
SFP|Estampado tamaño Frontal Policromía|Serigrafía|29/03/2016|$2.500|$5.000|$4.850|$4.750|$4.500|$4.250|$4.000|$3.750
SJ|Juego de estampado tamaño espalda y pecho vinilo textil a una tinta  |Serigrafía|14/05/2015|$20.000|$40.000|$38.800|$38.000|$36.000|$34.000|$32.000|$30.000
STF|Estampado en Transfer Policromia tamaño pecho  (previa verificacion del logo)|Transfer|14/05/2015|$3.500|$7.000|$6.790|$6.650|$6.300|$5.950|$5.600|$5.250
STE|Estampado en Transfer Policromia tamaño espalda (previa verificacion del logo)|Transfer|29/10/2015|$5.500|$11.000|$10.670|$10.450|$9.900|$9.350|$8.800|$8.250
TPG1|Tampografía para cascos a una tinta (aplica entre 1 y 80 unidades)|N/A||$90.000|$180.000|$174.600|$171.000|$162.000|$153.000|$144.000|$135.000
TPG2|Tampografía para cascos a dos tintas (aplica entre 1 y 80 unidades)|N/A||$180.000|$360.000|$349.200|$342.000|$324.000|$306.000|$288.000|$270.000
TPG1_BP1|Tampografía para plásticos cartón y demás a una tinta (aplica entre 1 y 1,000 unidades)|Impresión|06/11/2015|$50.000|$100.000|$97.000|$95.000|$90.000|$85.000|$80.000|$75.000
TPG1_BP2|Tampografía para plásticos cartón y demás a una tinta (aplica entre 1,001 y 2,999 unidades)|Impresión|06/11/2015|$50|$100|$97|$95|$90|$85|$80|$75
TPG1_BP3|Tampografía para plásticos cartón y demás a una tinta (aplica entre 3,000 y 4,999 unidades)|Impresión|06/11/2015|$40|$80|$78|$76|$72|$68|$64|$60
TPG1_BP4|Tampografía para plásticos cartón y demás a una tinta (aplica entre 5,000 y 10,000 unidades)|Impresión|06/11/2015|$35|$70|$68|$67|$63|$60|$56|$53
TPG1_BP5|Tampografía para plásticos cartón y demás a una tinta (aplica entre + de 10,000 unidades)|Impresión|06/11/2015|$30|$60|$58|$57|$54|$51|$48|$45
TPG2_BP1|Tampografía para plásticos cartón y demás a dos tintas (aplica entre 1 y 1,000 unidades)|Impresión|06/11/2015|$90.000|$180.000|$174.600|$171.000|$162.000|$153.000|$144.000|$135.000
TPG2_BP2|Tampografía para plásticos cartón y demás a dos tintas (aplica entre 1,001 y 2,999 unidades)|Impresión|06/11/2015|$90|$180|$175|$171|$162|$153|$144|$135
TPG2_BP3|Tampografía para plásticos cartón y demás a dos tintas (aplica entre 3,000 y 4,999 unidades)|Impresión|06/11/2015|$80|$160|$155|$152|$144|$136|$128|$120
TPG2_BP4|Tampografía para plásticos cartón y demás a dos tintas (aplica entre 5,000 y 10,000 unidades)|Impresión|06/11/2015|$70|$140|$136|$133|$126|$119|$112|$105
TPG2_BP5|Tampografía para plásticos cartón y demás a dos tintas (aplica entre + de 10,000 unidades)|Impresión|06/11/2015|$60|$120|$116|$114|$108|$102|$96|$90
TPG3_BP1|Tampografía para plásticos cartón y demás a tres tintas (aplica entre 1 y 1,000 unidades)|Impresión|06/11/2015|$130.000|$260.000|$252.200|$247.000|$234.000|$221.000|$208.000|$195.000
TPG3_BP2|Tampografía para plásticos cartón y demás a tres tintas  (aplica entre 1,001 y 2,999 unidades)|Impresión|06/11/2015|$130|$260|$252|$247|$234|$221|$208|$195
TPG3_BP3|Tampografía para plásticos cartón y demás a tres tintas  (aplica entre 3,000 y 4,999 unidades)|Impresión|06/11/2015|$120|$240|$233|$228|$216|$204|$192|$180
TPG3_BP4|Tampografía para plásticos cartón y demás a tres tintas  (aplica entre 5,000 y 10,000 unidades)|Impresión|06/11/2015|$105|$210|$204|$200|$189|$179|$168|$158
TPG3_BP5|Tampografía para plásticos cartón y demás a tres tintas  (aplica entre + de 10,000 unidades)|Impresión|06/11/2015|$90|$180|$175|$171|$162|$153|$144|$135
TPM1_BP|Tampografía para metales ó especiales a una tinta (aplica entre 1 y 1,000 unidades)|Impresión Tampográfica |06/11/2015|$80.000|$160.000|$155.200|$152.000|$144.000|$136.000|$128.000|$120.000
TPM2_BP|Tampografía para metales ó especiales a dos tintas (aplica entre 1 y 1,000 unidades)|Impresión Tampográfica |06/11/2015|$150.000|$300.000|$291.000|$285.000|$270.000|$255.000|$240.000|$225.000
||||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
CAMISETAS|C||||||$1||||
A001O|Camiseta T-Shirt cuello redondo (Tallas S a XL)  180 Gr|Algodón 100%|03/11/2015|$4.650|$9.300|$9.021|$8.835|$8.370|$7.905|$7.440|$6.975
A001O_10|Camiseta T-Shirt cuello redondo (Tallas S a XL)  Logo bordado tamaño pecho|Algodón 100%|14/05/2015|$5.550|$11.100|$10.767|$10.545|$9.990|$9.435|$8.880|$8.325
A001O_21|Camiseta T-Shirt (a color) cuello redondo estampado a una tinta frente y espalda (Tallas S a XL)|Algodón 100%|14/05/2015|$6.500|$13.000|$12.610|$12.350|$11.700|$11.050|$10.400|$9.750
A001OL|Camiseta T-Shirt cuello redondo (Tallas S a XL) 160gr|Algodón 100%|14/05/2015|$4.000|$8.000|$7.760|$7.600|$7.200|$6.800|$6.400|$6.000
A002O|Camibuso T-Shirt cuello redondo manga larga (Tallas S a XL)|Algodón 100%|14/05/2015|$9.000|$18.000|$17.460|$17.100|$16.200|$15.300|$14.400|$13.500
A001O_11|Camiseta T-Shirt cuello redondo (Tallas 2 a 16)  180 Gr Color Blanco|Algodón 100%|12/02/2016|$3.500|$7.000|$6.790|$6.650|$6.300|$5.950|$5.600|$5.250
A001O_11A|Camiseta T-Shirt cuello redondo (Tallas 2 a 16)  180 Gr Colores|Algodón 100%|12/02/2016|$4.000|$8.000|$7.760|$7.600|$7.200|$6.800|$6.400|$6.000
A001O_11V|Camiseta T-Shirt cuello en V (Tallas 2 a 16)  180 Gr Color Blanco|Algodón 100%|13/02/2016|$3.700|$7.400|$7.178|$7.030|$6.660|$6.290|$5.920|$5.550
A001O_11VA|Camiseta T-Shirt cuello en V (Tallas 2 a 16)  180 Gr Colores|Algodón 100%|14/02/2016|$4.200|$8.400|$8.148|$7.980|$7.560|$7.140|$6.720|$6.300
A001MT_V|Camiseta T-Shirt  cuello en V (Tallas S a XL).Material Dry fit con filtro UV|Montesimone Bases Lafayette     |29/03/2016|$19.500|$39.000|$37.830|$37.050|$35.100|$33.150|$31.200|$29.250
A002O_21|Camibuso T-Shirt (a color) cuello redondo manga larga, con 3 botones estampado a una tinta frente (2) espalda (1) (Tallas S a XL)|Algodón 100%|14/05/2015|$15.500|$31.000|$30.070|$29.450|$27.900|$26.350|$24.800|$23.250
A002O_C|Camibuso T-Shirt cuello tortuga manga larga (Tallas S a XL)|Algodón 100%|14/05/2015|$15.000|$30.000|$29.100|$28.500|$27.000|$25.500|$24.000|$22.500
A002OY|Camibuso T-Shirt cuello redondo manga larga (Tallas S a XL)|Algodón lycrado |14/05/2015|$13.000|$26.000|$25.220|$24.700|$23.400|$22.100|$20.800|$19.500
A002MT|Camibuso T-Shirt cuello redondo manga larga Material Dry fit con filtro UV (Tallas S a XL)|Montesimone Bases Lafayette     |29/03/2016|| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
A003AR|Camiseta tipo polo: Minimo 20 Camisetas por Color (Tallas S a XL) |Aranza Pat Primo ALG/ POL (30,5% / 69,5%)|03/11/2015|$15.000|$30.000|$29.100|$28.500|$27.000|$25.500|$24.000|$22.500
A003AROR|Camiseta tipo polo: Minimo 20 Camisetas por Color (Tallas S a XL) abotonadura y cuello interno en oxford liso o rayas|Aranza Pat Primo ALG/ POL (30,5% / 69,5%)|23/11/2015|$17.000|$34.000|$32.980|$32.300|$30.600|$28.900|$27.200|$25.500
A003O|Camiseta tipo polo 220 gr, (Tallas S a XL)|Algodón 100%|10/11/2015|$11.206|$22.412|$21.740|$21.291|$20.171|$19.050|$17.930|$16.809
A003O_11|Camiseta tipo polo para niños (Talla 2 - 16)|Algodón 100%|14/05/2015|$9.000|$18.000|$17.460|$17.100|$16.200|$15.300|$14.400|$13.500
A003OP|Camiseta tipo polo 220 gr, (Tallas S a XL)|Algodón Poliester 50/50|03/11/2015|$11.206|$22.412|$21.740|$21.291|$20.171|$19.050|$17.930|$16.809
A003OP_101|Camiseta tipo polo (Tallas S a XL) con 1 bordados tamaño pecho|Algodón Poliester 50/50|14/05/2015|$11.250|$22.500|$21.825|$21.375|$20.250|$19.125|$18.000|$16.875
A003OP_102|Camiseta tipo polo (Tallas S a XL) con 2 bordados tamaño pecho|Algodón Poliester 50/50|14/05/2015|$12.600|$25.000|$24.250|$23.750|$22.500|$21.250|$20.000|$18.750
A003OP_103|Camiseta tipo polo (Tallas S a XL) con 3 bordados tamaño pecho|Algodón Poliester 50/50|14/05/2015|$13.900|$27.500|$26.675|$26.125|$24.750|$23.375|$22.000|$20.625
A003OP_4|Camiseta tipo polo (Tallas XXL y XXXL)|Algodón Poliester 50/50|14/05/2015|$14.000|$28.000|$27.160|$26.600|$25.200|$23.800|$22.400|$21.000
A003OX|Camiseta tipo polo cuello en Oxford (Tallas S a XL)|Algodón 100% / Oxford |14/05/2015|$13.000|$26.000|$25.220|$24.700|$23.400|$22.100|$20.800|$19.500
A004_20| Camibuso tipo polo manga larga a Rayas (Tallas S a XL)|C Col|14/05/2015|$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
A004AR|Camiseta tipo polo Manga Larga en Aranza de Pat Primo (Tallas S a XL)|Aranza Pat Primo ALG/ POL (30,5% / 69,5%)|14/05/2015|$15.000|$30.000|$29.100|$28.500|$27.000|$25.500|$24.000|$22.500
A004ARXR|Camiseta tipo polo Manga Larga en Aranza de Pat Primo (Tallas S a XL) Cuello y abotonadura interna en Oxford Rayas  (Mìnimo 20 prendas por color)|Aranza Pat Primo ALG/ POL (30,5% / 69,5%)|23/11/2015|$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
A004O|Camibuso tipo polo manga larga (Tallas S a XL)|Algodón 100%|14/05/2015|$14.500|$28.000|$27.160|$26.600|$25.200|$23.800|$22.400|$21.000
A004O_10|Camibuso tipo polo manga larga Bordado pecho (Tallas S a XL)|Algodón 100%|14/05/2015|$16.100|$32.200|$31.234|$30.590|$28.980|$27.370|$25.760|$24.150
A004OP|Camibuso tipo polo manga larga (Tallas S a XL)|Algodón Poliester 50/50|14/05/2015|$14.500|$28.000|$27.160|$26.600|$25.200|$23.800|$22.400|$21.000
A004T|Camibuso tipo polo manga larga (Tallas S a XL)|Bases Lafayette|14/05/2015|$18.500|$37.000|$35.890|$35.150|$33.300|$31.450|$29.600|$27.750
A005O|Camiseta T-Shirt cuello V (Tallas S a XL)|Algodón 100%|14/05/2015|$6.000|$12.000|$11.640|$11.400|$10.800|$10.200|$9.600|$9.000
A006O|Camibuso T-Shirt cuello V manga larga (Tallas S a XL)|Algodón 100%|14/05/2015|$9.800|$19.600|$19.012|$18.620|$17.640|$16.660|$15.680|$14.700
A007O|Camiseta T-Shirt (a color) cuello redondo con 3 botones (Tallas S a XL)|Algodón 100%||$11.500|$23.000|$22.310|$21.850|$20.700|$19.550|$18.400|$17.250
A007O|Camiseta T-Shirt (a color) cuello redondo con 3 botones, estampado a una tinta frente (1) espalda (1) (Tallas S a XL)|Algodón 100%||$13.000|$26.000|$25.220|$24.700|$23.400|$22.100|$20.800|$19.500
A008|Cami buso en algodón manga larga con capota (Talla S a XL)|algodón 100%||$12.000|$24.000|$23.280|$22.800|$21.600|$20.400|$19.200|$18.000
A009|Camiseta tipo polo bi color poliester |Poliester ||$10.000|$20.000|$19.400|$19.000|$18.000|$17.000|$16.000|$15.000
A00OP20|Camiseta tipo polo Manga Corta A Rayas (Tallas S a XL)|C Col||$18.300|$36.600|$35.502|$34.770|$32.940|$31.110|$29.280|$27.450
A010| Camiseta deportiva diseño selección México. Tela Kjana| Tela Kjana||$20.000|$40.000|$38.800|$38.000|$36.000|$34.000|$32.000|$30.000
A011O|Camiseta esqueleto en algodón (Tallas S a XL)|FD||$6.500|$13.000|$12.610|$12.350|$11.700|$11.050|$10.400|$9.750
A012OR1|Camiseta cuello V manga siza (Tallas S a la XL) con cinta reflectiva en tela 1 en contorno|Algodón 180 Gr|16/04/2015|$6.000|$12.000|$11.640|$11.400|$10.800|$10.200|$9.600|$9.000
A014|Camiseta Tipo Polo de  4 colores, combinacion en Cuerpo, Mangas y Cuello,  100% Poliester.|Coats bases la  fayette|22/03/2016|$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
CAMISETAS|PERSONALIZADAS  ( C900  a  C999 )||||||||||
A901O|Acamiseta T-shirt, cuello redondo 10% algodón, 180Gr, dos colores Azul (superior) Rojo (inferior), estampado a full color en frente y espalda ( Maillot2_1 ), tallas 1.375 SM + 1,375M + 1.375 L + 1.375 XL. Empacado en Cajas|100% ALGODÓN|08/05/2015|$8.500|$17.000|$16.490|$16.150|$15.300|$14.450|$13.600|$12.750
A902|Camiseta Oficial Visitante Selección Colombia (Tallas S a XL)|Adidas||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
A903|Camiseta tipo polo roja con base de cuello nerú  (puntas redondeadas)color amarillo, cremallera invisible amarilla en vez de pechera, corte amarillo en parte inferior de manga, logotipos y logos estampados en vinilo textil.|MICROTEC/UV|03/08/2015|$35.000|$70.000|$67.900|$66.500|$63.000|$59.500|$56.000|$52.500
CAMISAS|C||||||||||
C001BG|Camisa formal cierre botones manga larga para hombre o dama  (Tallas XS a XL)|Bogotana Rayas (Mínimo 10  por color)||$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
C001CG|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Córcega  100% algodón||$23.400|$46.800|$45.396|$44.460|$42.120|$39.780|$37.440|$35.100
C001K_4|Camisa formal cierre botones manga corta para hombre o dama (Tallas grandes)|Dacrón||$17.700|$35.400|$34.338|$33.630|$31.860|$30.090|$28.320|$26.550
C001K|Camisa formal cierre botones manga larga para hombre o dama  (Tallas XS a XL)|Dacrón||$15.600|$31.200|$30.264|$29.640|$28.080|$26.520|$24.960|$23.400
C001LL_5|Camisa formal cierre botones manga larga para hombre o dama Bordado Seguridad Privada (Tallas XS a XL)|Lino 9000||$20.300|$40.600|$39.382|$38.570|$36.540|$34.510|$32.480|$30.450
C001L|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Linoflex||$15.000|$30.000|$29.100|$28.500|$27.000|$25.500|$24.000|$22.500
C001LL|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Lino 9000||$18.800|$37.600|$36.472|$35.720|$33.840|$31.960|$30.080|$28.200
C001O|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Algodón 100%||$23.000|$46.000|$44.620|$43.700|$41.400|$39.100|$36.800|$34.500
C001SX|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Bases Sutex (Mínimo 15  por color)||$24.000|$48.000|$46.560|$45.600|$43.200|$40.800|$38.400|$36.000
C001T|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Bases Lafayette||$28.000|$56.000|$54.320|$53.200|$50.400|$47.600|$44.800|$42.000
C001X|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Oxford||$19.000|$38.000|$36.860|$36.100|$34.200|$32.300|$30.400|$28.500
C001X_1|Camisa formal cierre botones manga 3/4 para hombre o dama (Tallas XS a XL)|Oxford||$19.000|$38.000|$36.860|$36.100|$34.200|$32.300|$30.400|$28.500
C001X_4|Camisa formal cierre botones manga larga para hombre o dama (Tallas grandes)|Oxford||$22.000|$44.000|$42.680|$41.800|$39.600|$37.400|$35.200|$33.000
C001X1|Camisa formal cierre botones manga larga para hombre o dama reflectivo 1 en contorno pecho y mangas (Tallas XS a XL)|Oxford||$23.500|$47.000|$45.590|$44.650|$42.300|$39.950|$37.600|$35.250
C001X2|Camisa formal cierre botones manga larga para hombre o dama con reflectivo base tela de 2 en contorno mangas (Tallas XS a XL)|Oxford||$23.400|$46.800|$45.396|$44.460|$42.120|$39.780|$37.440|$35.100
C001XM|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Oxford Maxi||$19.750|$39.500|$38.315|$37.525|$35.550|$33.575|$31.600|$29.625
C001XM_4|Camisa formal cierre botones manga larga para hombre o dama (Tallas XL a XXXL)|Oxford Maxi||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
C001XR|Camisa formal cierre botones manga larga para hombre o dama (Tallas XS a XL)|Oxford Rayas||$21.650|$43.300|$42.001|$41.135|$38.970|$36.805|$34.640|$32.475
C002CG|Camisa formal cierre botones manga corta para hombre o dama (Tallas XS a XL)|Córcega  100% algodón||$19.500|$39.000|$37.830|$37.050|$35.100|$33.150|$31.200|$29.250
C002H|Camisa Tipo Levis cierre botones manga Corta para hombre o dama (Tallas XS a XL)|Indigo 6 Oz.||$17.500|$35.000|$33.950|$33.250|$31.500|$29.750|$28.000|$26.250
C002HR1|Camisa Tipo Levis cierre botones manga Corta para hombre o dama (Tallas XS a XL) Cinta reflectiva en contorno|Indigo 6 Oz.||$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
C002K|Camisa formal cierre botones manga corta para hombre o dama (Tallas XS a XL)|Dacrón||$14.520|$29.040|$28.169|$27.588|$26.136|$24.684|$23.232|$21.780
C002LL|Camisa formal cierre botones manga Corta para hombre o dama (Tallas XS a XL)|Lino 9000||$17.700|$35.400|$34.338|$33.630|$31.860|$30.090|$28.320|$26.550
C002SX|Camisa formal cierre botones manga corta para hombre o dama (Tallas XS a XL)|Bases Sutex (Mínimo 15  por color)||$22.200|$44.400|$43.068|$42.180|$39.960|$37.740|$35.520|$33.300
C002T|Camisa formal cierre botones manga corta para hombre o dama (Tallas XS a XL)|Bases Lafayette||$24.000|$48.000|$46.560|$45.600|$43.200|$40.800|$38.400|$36.000
C002X|Camisa formal cierre botones manga corta para hombre o dama (Tallas XS a XL)|Oxford||$18.000|$36.000|$34.920|$34.200|$32.400|$30.600|$28.800|$27.000
C002X1|Camisa formal cierre botones manga Corta para hombre o dama reflectivo 1 en contorno pecho y mangas (Tallas XS a XL)|Oxford||$22.500|$45.000|$43.650|$42.750|$40.500|$38.250|$36.000|$33.750
C002XM|Camisa formal cierre botones manga corta para hombre o dama (Tallas XS a XL)|Oxford Maxi||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
C001D1|Camisa  cierre botones manga larga reflectivo 1 contorno y mangas(Tallas XS a XL)|Dril||$28.000|$56.000|$54.320|$53.200|$50.400|$47.600|$44.800|$42.000
C001D|Camisa cierre botones manga larga para hombre o dama  (Tallas XS a XL)|Dril||$23.000|$46.000|$44.620|$43.700|$41.400|$39.100|$36.800|$34.500
C003D2|Camisa  cierre botones bolsillo con tapa-portaesferos manga larga (Tallas XS a XL)|Dril||$23.000|$46.000|$44.620|$43.700|$41.400|$39.100|$36.800|$34.500
C004BR|Camisa tipo Levis cierre botones dos bolsillos manga Larga (Tallas XS a XL)|Berlín 60% Algodón, 40% Poliester||$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
C004D|Camisa cierre botones dos bolsillos manga corta (Tallas XS a XL)|Dril||$22.000|$44.000|$42.680|$41.800|$39.600|$37.400|$35.200|$33.000
C004DL|Camisa tipo Levis cierre botones dos bolsillos manga Larga (Tallas XS a XL)|Dril||$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
C004H|Camisa tipo Levis cierre botones manga larga para hombre o dama (Tallas XS a XL)|Indigo 6 Oz.||$19.000|$38.000|$36.860|$36.100|$34.200|$32.300|$30.400|$28.500
C004H1|Camisa tipo Levis cierre botones manga larga para hombre o dama reflectivo 2 en contorno pecho y mangas (Tallas XS a XL)|Indigo 6 Oz.||$25.000|$50.000|$48.500|$47.500|$45.000|$42.500|$40.000|$37.500
C005AF|CAMISA TIPO OVEROL IGNIFUGA|Tela ignifuga||$100.000|$200.000|$194.000|$190.000|$180.000|$170.000|$160.000|$150.000
C006XM|Camisa manga corta para maternidad (Tallas XS a XL)|Oxford Michigan||| $ -   | $ -   | $ -   | $ -   | $ -   | $ -   | $ -
C007SX|Camisa manga larga para maternidad (Tallas XS a XL)|Bases Sutex (Mínimo 15  por color)||$26.000|$52.000|$50.440|$49.400|$46.800|$44.200|$41.600|$39.000
C007T|Camisa manga larga para maternidad (Tallas XS a XL)|Bases Lafayette||$28.000|$56.000|$54.320|$53.200|$50.400|$47.600|$44.800|$42.000
C007XM|Camisa manga larga para maternidad (Tallas XS a XL)|Oxford Michigan||$22.500|$45.000|$43.650|$42.750|$40.500|$38.250|$36.000|$33.750
C008O|Camisa cuello bandeja|Algodon||$16.000|$32.000|$31.040|$30.400|$28.800|$27.200|$25.600|$24.000
C009T|Blusa para dama moda, manga larga o 3/4 (Tallas XS a XL)|Bases Lafayette|16/02/2016|$28.000|$56.000|$54.320|$53.200|$50.400|$47.600|$44.800|$42.000
C010LL|Camisa tipo chef 3/4 con embones |Lino 9000||$19.750|$39.500|$38.315|$37.525|$35.550|$33.575|$31.600|$29.625
C010U|Blusa cuello camisero manga 3/4|Universal||$24.500|$49.000|$47.530|$46.550|$44.100|$41.650|$39.200|$36.750
C011|Camisa manga corta tipo quirurgica cuello V (Tallas XS a XL)|Antifluidos|12/02/2016|$13.775|$27.550|$26.724|$26.173|$24.795|$23.418|$22.040|$20.663
C011U|Camisa manga corta tipo quirurgica cuello V (Tallas XS a XL)|Universal (antifluido lafayette)|12/02/2016|$18.230|$36.460|$35.366|$34.637|$32.814|$30.991|$29.168|$27.345
C011A|Camisa manga larga tipo quirurgica cuello V (Tallas XS a XL)|Antifluidos|12/02/2016|$14.750|$29.500|$28.615|$28.025|$26.550|$25.075|$23.600|$22.125
C012SX|Blusa Isabela manga 3/4 (Tallas XS a XL)|Bases Sutex (Mínimo 15  por color)||$24.500|$49.000|$47.530|$46.550|$44.100|$41.650|$39.200|$36.750
C014P|Camisa dos colores con embones en Manga, bolsillos frontales y en pechera|Praga||$23.400|$46.800|$45.396|$44.460|$42.120|$39.780|$37.440|$35.100
C015|Buso manga larga de capota|Algodón Perchado||$21.900|$43.800|$42.486|$41.610|$39.420|$37.230|$35.040|$32.850
C016SG|Camisa Manga larga con charretera en hombros, 2 bolsillos con tapa. Mangas con diseño|Segal GALLETA Lafayette|19/11/2015|$31.662|$63.324|$61.424|$60.158|$56.992|$53.825|$50.659|$47.493
C016X|Camisa formal cierre botones manga larga para hombre o dama con charretera en hombros,  (Tallas XS a XL)|Oxford|09/02/2016|$21.000|$42.000|$40.740|$39.900|$37.800|$35.700|$33.600|$31.500
C901D|Camisa dril formal dama o caballero 2 colores con estampados|Dril||$30.750|$61.500|$59.655|$58.425|$55.350|$52.275|$49.200|$46.125
C902D|Camisa Manga Corta, Dama o Caballero 3 colores con ambone en contorno de manga, frente y espalda, cortes en costado y canesú|Dril Raza / vulcano|23/04/2015|$21.520|$43.040|$41.749|$40.888|$38.736|$36.584|$34.432|$32.280
C902DF|Camisa Manga Corta, Dama o Caballero 3 colores con ambone en contorno de manga, frente y espalda, cortes en costado y canesú. Bordado Tamaño Pecho|Dril Raza / vulcano|23/04/2015|$23.100|$46.200|$44.814|$43.890|$41.580|$39.270|$36.960|$34.650
C903|Camisa femenina de cuello frances , puño ancho de diamante con un (1) botón,cruce de puño con un  (1) botón y terminación en diamante,  silueta princesa con pinzas de entalle, almilla recta en espalda y delantero, botonadura simple y simétrica de 7 botones, corte circular en ruedo de costados. Pechera y pie de cuello color amarillo, interior del cuello y portañuela en color rojo. Logotipos y bandera bordados y diseño espalda estampado en re ectivo. Pespuntes a 1/16.|POPELIN|03/08/2015|$28.500|$57.000|$55.290|$54.150|$51.300|$48.450|$45.600|$42.750
C904|Camisamasculina de cuello frances , puño ancho de diamante con un (1) botón,cruce de puño con un (1) botón y terminación en diamante,  silueta recta,bolsillo izquierdo en delantero, almilla recta en espalda y delantero, botonadura simple y simétrica de 7 botones, corte circular en ruedo de costados. Pechera y pie de cuello color amarillo, interior del cuello y portañuela en color rojo. Logotipos y bandera bordados y diseño espalda estampado en re ectivo. Pespuntes a 1/16.|POPELIN|04/08/2015|$28.500|$57.000|$55.290|$54.150|$51.300|$48.450|$45.600|$42.750
CHALECOS|L||||||||||
